MAPPED_GENE,SNP ID
"GBAP1, GBAP1",2
BCKDK,2
RIMS2,1
RETREG3,1
PGS1,1
RESF1 - BICD1-AS1,1
"RERE, RERE-AS1",1
RILPL2,1
PIGL,1
PMF1-BGLAP,1
PRDM15,1
PAM - EIF3KP1,1
RN7SKP190 - CDH13,1
RN7SL261P - GJA5,1
RN7SL869P - RN7SL35P,1
PPP6R2,1
RNA5SP144 - LARP7P4,1
RNA5SP286 - RORB-AS1,1
PRKAG2,1
PIK3CA-DT,1
RBX1 - Y_RNA,1
PI15 - CRISPLD1,1
PHB1P21,1
PCGF3,1
PDGFB - RPL3,1
PBXIP1,1
PSMA6P4 - RPL7AP61,1
PTPRD,1
PRRG4 - QSER1,1
POLR2A,1
PLEKHM1,1
PLA2G10FP - SPRING1P3,1
PWRN4,1
PKP2,1
PITPNM2,1
PLPP4,1
PRKN,1
PRKCE,1
"RABEP2, CD19",1
PLPPR1,1
PAX7 - TAS1R2,1
PDCL2P1 - PTCHD1,1
PIK3CA,1
PDLIM2,1
PFDN1P2 - CD38,1
POLR3B - RFX4,1
AACS,1
RNA5SP443 - ARHGAP27,1
TPM1,1
TSBP1-AS1 - HLA-DRA,1
TRPS1,1
TRPM2,1
TRIM46,1
TRIM40,1
TRAPPC2L - PABPN1L,1
TPM1 - LACTB,1
TPI1P1 - RNU6-161P,1
TCIM - SIRLNT,1
TMEM158 - U3,1
TMEM132C,1
TMEM108,1
TMC5,1
"TMC3, TMC3-AS1",1
TIAL1 - RAD1P1,1
THSD4,1
TXNP1 - INPP5F,1
UBBP4,1
UBTF,1
UNC13B,1
"ZNF646, PRSS53",1
ZNF322 - GUSBP2,1
"ZNF165, ZSCAN16-AS1",1
ZDHHC2,1
XCL1 - DPT,1
WNT9A - CICP26,1
WDR41,1
WDR1,1
WDHD1,1
"WBP1L, CYP17A1",1
VSTM2L,1
VN1R10P - ZNF204P,1
VAMP4 - METTL13,1
VAMP4,1
"USP8, USP50",1
TEKT4 - MTCO1P48,1
TCEANC2,1
RNA5SP74 - LRRN2,1
RPS6KL1,1
SCN2A,1
SCGB1D4 - NPM1P35,1
"SCARB2, FAM47E",1
SALL2 - RBBP4P5,1
RYR3,1
RYR2,1
RTL9,1
RPL9P21 - TMEM72-AS1,1
SYT4 - RNA5SP455,1
RPL7L1P15 - RNU6-667P,1
RPL7AP67 - ZNF24TR,1
RNU7-137P - Y_RNA,1
RNU6-835P - GPR65,1
RNU6-472P - Y_RNA,1
RNU6-121P - AQP10,1
"RNF217-AS1, NKAIN2",1
SEC23IP - MIR4682,1
SEMA4A,1
SEMA5A,1
P2RX5 - ITGAE,1
SYBU,1
SULT1C2,1
STX1B,1
STK10,1
STAP1,1
SREBF1,1
SQOR - MTND5P40,1
SP1,1
SNX29,1
SLCO1B3,1
SLC50A1,1
SLC39A8,1
SLC28A3 - NTRK2,1
SLC18B1,1
SHROOM3,1
PAM,1
"MAPT-AS1, SPPL2C",1
OR5AZ1P - OR5BD1P,1
HNRNPA1P64 - COX6A1P1,1
FAM171A2,1
FAM136FP - NUP50P4,1
EXTL3,1
ERCC6L2-AS1,1
"EHMT2-AS1, SLC44A4",1
EFNB1 - PJA1,1
EFNA4-EFNA3,1
DSG3,1
DNAH17,1
DIRC1 - COL3A1,1
DENND2B,1
DDX46,1
DCUN1D1 - MCCC1,1
DAB1,1
CYRIB,1
CYP4Z1,1
CYCSP42 - RNU6-1326P,1
FAM184A,1
FASN,1
FCGR3B - FCGR2B,1
GPR19,1
HMGB1P13 - LINC00326,1
HEATR6,1
"HASPIN, ITGAE",1
GXYLT1,1
GUCY1A2 - ASS1P13,1
GPR89P - RSL24D1P1,1
GPR32P1 - GPR32,1
GPM6B,1
FDFT1 - CTSB,1
"GNA12, AMZ1",1
GFPT2 - RNU6-525P,1
GBA2,1
GABRG3 - OCA2,1
GABRG2 - RNU6-164P,1
FMNL1-DT,1
FGD4 - DNM1L,1
CTC1,1
CRLS1,1
COL5A2,1
ARHGAP27,1
BRINP1,1
BBS9,1
ATF6,1
ASXL3 - NOL4,1
ASXL3,1
ASCL4 - WSCD2,1
ARHGEF2,1
AREL1,1
C5orf52,1
ANO5,1
ANO2,1
ALK,1
AHR,1
AGAP1,1
ADD1,1
ADAM10,1
C5orf24 - TXNDC15,1
CA8,1
COL13A1,1
CCDC85A,1
CNKSR3,1
CLRN3,1
CHRNB1,1
"CHL1, CHL1-AS1",1
CFAP20DC-DT,1
CD83P1 - RNU6-471P,1
CD69 - GCNAP1,1
CCDC82,1
CACNA1B,1
CC2D2A,1
CBFA2T3,1
CASC16 - PHB1P21,1
CARS2,1
CAPN13 - GALNT14,1
CAMTA1,1
CACNA2D3,1
HMGN2P18,1
"HTR2A, HTR2A-AS1",1
ODAPH,1
HYCC1 - KLHL7-DT,1
MIR663AHG - FRG1CP,1
MIR4485 - RNF141,1
MEFV,1
MED13,1
"MDGA2, RPA2P1",1
"MCCC1, MCCC1-AS1",1
AAK1,1
MAD1L1,1
MACF1,1
LTK,1
LRRC30 - PTPRM,1
LRRC25 - SSBP4,1
LRP8,1
LRP1B,1
LMNB1 - MARCHF3,1
LINC03051 - IGSF11,1
LINC03011 - RABGEF1P1,1
MLX,1
MMRN1,1
MMRN1 - CCSER1,1
NABP1 - CAVIN2,1
NXPE2 - CADM1,1
NTRK1,1
NR1D2,1
NKAIN3,1
NIBAN2,1
NGEF,1
NAGLU - HSD17B1P1,1
MYL6P5 - ROCR,1
MROH3P,1
MX2,1
MUC19 - CNTN1,1
MUC12,1
MUC1,1
MTND1P24 - LINC02400,1
MTND1P22 - GUCY1A1,1
MTF2,1
LINC02920 - CYCSP42,1
LINC02889 - SNX13,1
LINC02885,1
KCNS3,1
LAMP3,1
KPNA3,1
KPNA1,1
KNTC1 - HCAR2,1
KLHL7,1
KLHL29,1
KLHDC1,1
KCNIP4,1
LINC00456 - MBNL2,1
KCNIP3,1
"ITPKB, ITPKB-IT1",1
ITIH1,1
ISM1 - TASP1,1
IRS2 - RN7SKP10,1
"IQCJ-SCHIP1, IQCJ",1
ING1,1
LHFPL2,1
LINC00511,1
LINC02629 - PARD3,1
LINC02224,1
LINC02582 - RN7SL401P,1
LINC02555,1
LINC02465 - LINC02479,1
LINC02451,1
LINC02400 - GXYLT1,1
LINC02353 - MAPRE1P2,1
LINC02331,1
LINC02213 - ANKRD33B,1
LINC00544 - LINC00365,1
LINC02063 - LINC02114,1
LINC01549,1
LINC01500,1
LINC01495 - FANCF,1
LINC01239,1
LINC01147,1
LINC01127 - IL1R2,1
ZP3,1
